Randomizer Version: 4.4.0
Random Seed: 89045239238659
Settings String: 318WRIEEgKXAJoAnQCRAAKeBnsECQEAFAACCQAuEgAAAAAADBCI5ATkQYYICTIGBQIyAAUVUG9rZW1vbiBIZWFydEdvbGQgKFUpgH3a3ePDOIo=

--Randomized Evolutions--
BULBASAUR       -> BAYLEEF        
IVYSAUR         -> WEEZING        
CHARMANDER      -> COMBUSKEN      
CHARMELEON      -> HOUNDOOM       
SQUIRTLE        -> PELIPPER       
WARTORTLE       -> FLOATZEL       
CATERPIE        -> WEEDLE         
METAPOD         -> LEDIAN         
WEEDLE          -> BURMY          
KAKUNA          -> BUTTERFREE     
PIDGEY          -> SKIPLOOM       
PIDGEOTTO       -> HONCHKROW      
RATTATA         -> PORYGON        
SPEAROW         -> CLEFABLE       
EKANS           -> VENOMOTH       
PIKACHU         -> AMPHAROS       
SANDSHREW       -> CAMERUPT       
NIDORAN♀        -> SKORUPI        
NIDORINA        -> ARBOK          
NIDORAN♂        -> WEEPINBELL     
NIDORINO        -> GOLBAT         
CLEFAIRY        -> KECLEON        
VULPIX          -> MAGMAR         
JIGGLYPUFF      -> SWELLOW        
ZUBAT           -> FEAROW         
GOLBAT          -> ROSERADE       
ODDISH          -> NIDORINO       
GLOOM           -> MEGANIUM and MUK
PARAS           -> TANGELA        
VENONAT         -> NIDOKING       
DIGLETT         -> GLIGAR         
MEOWTH          -> DODRIO         
PSYDUCK         -> OMASTAR        
MANKEY          -> HITMONTOP      
GROWLITHE       -> INFERNAPE      
POLIWAG         -> CROCONAW       
POLIWHIRL       -> KINGLER and TENTACRUEL
ABRA            -> WOBBUFFET      
KADABRA         -> CLAYDOL        
MACHOP          -> MEDICHAM       
MACHOKE         -> HARIYAMA       
BELLSPROUT      -> IVYSAUR        
WEEPINBELL      -> SWALOT         
TENTACOOL       -> SLOWBRO        
GEODUDE         -> LILEEP         
GRAVELER        -> CRADILY        
PONYTA          -> TYPHLOSION     
SLOWPOKE        -> LUMINEON and BLASTOISE
MAGNEMITE       -> SCIZOR         
MAGNETON        -> LUXRAY         
DODUO           -> STARAPTOR      
SEEL            -> GOREBYSS       
GRIMER          -> VILEPLUME      
SHELLDER        -> FERALIGATR     
GASTLY          -> ROSELIA        
