Randomizer Version: 4.5.1-HAL
Random Seed: 267551420360210
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> CRESSELIA      
IVYSAUR         -> PIDGEY         
CHARMANDER      -> SKUNTANK       
CHARMELEON      -> POLITOED       
SQUIRTLE        -> AERODACTYL     
WARTORTLE       -> ARBOK          
CATERPIE        -> ONIX           
METAPOD         -> BRONZONG       
WEEDLE          -> CRADILY        
KAKUNA          -> MANECTRIC      
PIDGEY          -> TROPIUS        
PIDGEOTTO       -> MEW            
RATTATA         -> WINGULL        
SPEAROW         -> HITMONLEE      
EKANS           -> ZAPDOS         
PIKACHU         -> REMORAID       
SANDSHREW       -> DUSCLOPS       
NIDORAN♀        -> KINGDRA        
NIDORINA        -> SPINDA         
NIDORAN♂        -> GLACEON        
NIDORINO        -> GLOOM          
CLEFAIRY        -> GABITE         
VULPIX          -> LOMBRE         
JIGGLYPUFF      -> DELCATTY       
ZUBAT           -> EKANS          
GOLBAT          -> LEDIAN         
ODDISH          -> BEAUTIFLY      
GLOOM           -> KYOGRE and SALAMENCE
PARAS           -> GROTLE         
VENONAT         -> SEVIPER        
DIGLETT         -> GARCHOMP       
MEOWTH          -> GASTLY         
PSYDUCK         -> WEEZING        
MANKEY          -> TOXICROAK      
GROWLITHE       -> HOPPIP         
POLIWAG         -> GRUMPIG        
POLIWHIRL       -> ELECTRODE and SABLEYE
ABRA            -> KIRLIA         
KADABRA         -> TOGEKISS       
MACHOP          -> BONSLY         
MACHOKE         -> CAMERUPT       
BELLSPROUT      -> MR. MIME       
WEEPINBELL      -> AGGRON         
TENTACOOL       -> TYPHLOSION     
GEODUDE         -> MAROWAK        
GRAVELER        -> QUILAVA        
PONYTA          -> METAPOD        
SLOWPOKE        -> PARASECT and NIDOKING
MAGNEMITE       -> KRICKETOT      
MAGNETON        -> HITMONCHAN     
DODUO           -> CLOYSTER       
SEEL            -> SMEARGLE       
GRIMER          -> SKITTY         
SHELLDER        -> PIDGEOT        
GASTLY          -> VAPOREON       
HAUNTER         -> NINETALES      
ONIX            -> BELLOSSOM      
DROWZEE         -> HEATRAN        
KRABBY          -> RATICATE       
VOLTORB         -> PINSIR         
EXEGGCUTE       -> JIGGLYPUFF     
CUBONE          -> MIGHTYENA      
LICKITUNG       -> DIALGA         
KOFFING         -> LOTAD          
RHYHORN         -> BUIZEL         
RHYDON          -> SANDSLASH      
CHANSEY         -> LANTURN        
TANGELA         -> LICKITUNG      
HORSEA          -> SILCOON        
SEADRA          -> MONFERNO       
GOLDEEN         -> MILOTIC        
STARYU          -> CHINGLING      
SCYTHER         -> YANMA          
ELECTABUZZ      -> LEDYBA         
MAGMAR          -> BANETTE        
MAGIKARP        -> REGISTEEL      
EEVEE           -> OMASTAR, MAGNEZONE, DUNSPARCE, GOLEM, SUDOWOODO, BELLSPROUT and CROBAT
PORYGON         -> SPOINK         
OMANYTE         -> ELECTRIKE      
KABUTO          -> KRABBY         
DRATINI         -> SNOVER         
DRAGONAIR       -> FERALIGATR     
CHIKORITA       -> HARIYAMA       
BAYLEEF         -> JYNX           
CYNDAQUIL       -> CACNEA         
QUILAVA         -> GLALIE         
TOTODILE        -> SKARMORY       
CROCONAW        -> SWALOT         
SENTRET         -> MISMAGIUS      
HOOTHOOT        -> ARMALDO        
LEDYBA          -> UMBREON        
SPINARAK        -> MINUN          
CHINCHOU        -> SNUBBULL       
PICHU           -> LUNATONE       
CLEFFA          -> ABSOL          
IGGLYBUFF       -> VILEPLUME      
TOGEPI          -> VOLTORB        
TOGETIC         -> EXPLOUD        
NATU            -> MILTANK        
MAREEP          -> PICHU          
FLAAFFY         -> BASTIODON      
MARILL          -> TOGETIC        
HOPPIP          -> HERACROSS      
SKIPLOOM        -> MEDITITE       
AIPOM           -> DUSKULL        
SUNKERN         -> CHIKORITA      
YANMA           -> WAILORD        
WOOPER          -> RAPIDASH       
MURKROW         -> DARKRAI        
MISDREAVUS      -> GOREBYSS       
PINECO          -> REGIGIGAS      
GLIGAR          -> FROSLASS       
SNUBBULL        -> CORSOLA        
SNEASEL         -> HITMONTOP      
TEDDIURSA       -> PRINPLUP       
SLUGMA          -> TORKOAL        
SWINUB          -> SOLROCK        
PILOSWINE       -> DODRIO         
REMORAID        -> MOTHIM         
HOUNDOUR        -> POLIWAG        
PHANPY          -> NUZLEAF        
PORYGON2        -> SHEDINJA       
TYROGUE         -> SWINUB, VIGOROTH and POLIWRATH
SMOOCHUM        -> MANKEY         
ELEKID          -> SHELGON        
MAGBY           -> CLAYDOL        
LARVITAR        -> HO-OH          
PUPITAR         -> FARFETCH’D     
TREECKO         -> STARMIE        
GROVYLE         -> PHIONE         
TORCHIC         -> ROTOM          
COMBUSKEN       -> SUICUNE        
MUDKIP          -> SWELLOW        
MARSHTOMP       -> KADABRA        
POOCHYENA       -> WORMADAM       
ZIGZAGOON       -> PRIMEAPE       
WURMPLE         -> GROVYLE and DONPHAN
SILCOON         -> NIDOQUEEN      
CASCOON         -> MISDREAVUS     
LOTAD           -> OCTILLERY      
LOMBRE          -> YANMEGA        
SEEDOT          -> BULBASAUR      
NUZLEAF         -> ARCANINE       
TAILLOW         -> BLAZIKEN       
WINGULL         -> URSARING       
RALTS           -> UNOWN          
KIRLIA          -> LEAFEON and FLYGON
SURSKIT         -> RALTS          
SHROOMISH       -> HUNTAIL        
SLAKOTH         -> HIPPOWDON      
VIGOROTH        -> CASTFORM       
NINCADA         -> LUCARIO and STARAPTOR
WHISMUR         -> BLASTOISE      
LOUDRED         -> LATIOS         
MAKUHITA        -> DRIFBLIM       
AZURILL         -> AMPHAROS       
NOSEPASS        -> PINECO         
SKITTY          -> CHATOT         
ARON            -> WHISMUR        
LAIRON          -> KANGASKHAN     
MEDITITE        -> GALLADE        
ELECTRIKE       -> MOLTRES        
ROSELIA         -> LOUDRED        
GULPIN          -> BAYLEEF        
CARVANHA        -> CLEFFA         
WAILMER         -> TENTACRUEL     
NUMEL           -> DEOXYS         
SPOINK          -> ZANGOOSE       
TRAPINCH        -> HIPPOPOTAS     
VIBRAVA         -> TYRANITAR      
CACNEA          -> JOLTEON        
SWABLU          -> LUXRAY         
BARBOACH        -> LUGIA          
CORPHISH        -> BRELOOM        
BALTOY          -> TOTODILE       
LILEEP          -> NIDORINA       
ANORITH         -> LOPUNNY        
FEEBAS          -> GLIGAR         
SHUPPET         -> RHYPERIOR      
DUSKULL         -> REGICE         
DUSCLOPS        -> ESPEON         
WYNAUT          -> PORYGON-Z      
SNORUNT         -> GOLDUCK and BIDOOF
SPHEAL          -> NUMEL          
SEALEO          -> SQUIRTLE       
CLAMPERL        -> SLOWPOKE and SHIELDON
BAGON           -> PUPITAR        
SHELGON         -> SNORLAX        
BELDUM          -> SCEPTILE       
METANG          -> ZIGZAGOON      
TURTWIG         -> BUTTERFREE     
GROTLE          -> GYARADOS       
CHIMCHAR        -> TANGROWTH      
MONFERNO        -> FORRETRESS     
PIPLUP          -> RAIKOU         
PRINPLUP        -> CHERRIM        
STARLY          -> FURRET         
STARAVIA        -> HONCHKROW      
BIDOOF          -> HOUNDOOM       
KRICKETOT       -> MASQUERAIN     
SHINX           -> DIGLETT        
LUXIO           -> MAWILE         
BUDEW           -> GIRATINA       
CRANIDOS        -> EMPOLEON       
SHIELDON        -> INFERNAPE      
BURMY           -> MAGIKARP and AZUMARILL
COMBEE          -> BUDEW          
BUIZEL          -> CHIMECHO       
CHERUBI         -> SLAKING        
SHELLOS         -> ARTICUNO       
DRIFLOON        -> PSYDUCK        
BUNEARY         -> DODUO          
GLAMEOW         -> NIDORAN♀       
CHINGLING       -> SHAYMIN        
STUNKY          -> PACHIRISU      
BRONZOR         -> CHIMCHAR       
BONSLY          -> KECLEON        
MIME JR.        -> MEGANIUM       
HAPPINY         -> HOOTHOOT       
GIBLE           -> SKORUPI        
GABITE          -> GRANBULL       
MUNCHLAX        -> RHYDON         
RIOLU           -> CROCONAW       
HIPPOPOTAS      -> HYPNO          
SKORUPI         -> XATU           
CROAGUNK        -> PALKIA         
FINNEON         -> EXEGGUTOR      
MANTYKE         -> CHARMELEON     
SNOVER          -> MAGCARGO       

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1    |ABILITY2    | EVO|ITEM
  1|BULBASAUR    |FIGHTING         |  69| 123| 106|  66|  78|  45|Slow Start  | -          |MID |Toxic Orb (common), Steel Mail (rare)
  2|IVYSAUR      |ROCK/FLYING      |  72|  10|  74|  19|  49|  25|Sniper      | -          |BASE|Kasib Berry (rare)
  3|VENUSAUR     |WATER            | 120|  92|  69|  20| 135|  47|Honey Gather| -          |FULL|
  4|CHARMANDER   |STEEL            | 106|  10|  28|  71|  64|  11|Flame Body  |Torrent     |BASE|Shell Bell (common)
  5|CHARMELEON   |GROUND/POISON    |  48|  32|  52|  63|  60|  65|Simple      | -          |MID |
  6|CHARIZARD    |ICE              | 119|  15|  80| 105|  33|  87|Slow Start  |Quick Feet  |FULL|Magmarizer (common), TM14 (rare)
  7|SQUIRTLE     |ELECTRIC         |  31|  75|  76|  80|  23|  11|Frisk       | -          |MID |Dragon Scale (rare)
  8|WARTORTLE    |ELECTRIC/PSYCHIC | 124|  23|  34|  17|  11|  10|Soundproof  | -          |BASE|Heart Mail (rare)
  9|BLASTOISE    |GROUND/GHOST     | 135| 141|  78| 101|  64| 104|Shadow Tag  | -          |FULL|Iron Ball (100%)
 10|CATERPIE     |ELECTRIC/ROCK    | 101|  10|  15|  90|  41|  10|Levitate    |Keen Eye    |BASE|Focus Sash (common), TM40 (rare)
 11|METAPOD      |DARK/DRAGON      |  62|  89| 129|  94|  85|  26|Clear Body  | -          |MID |Green Scarf (common)
 12|BUTTERFREE   |BUG/ELECTRIC     |  20|  95| 118| 125|  10| 108|Tangled Feet|Synchronize |FULL|
 13|WEEDLE       |DRAGON           |  45|  29|  89|  14|  33|  83|Liquid Ooze |Anticipation|BASE|Pure Incense (100%)
 14|KAKUNA       |BUG              | 105|  22|  36|  34| 122|  47|Suction Cups| -          |BASE|Metal Powder (rare)
 15|BEEDRILL     |BUG              |  20|  94|  25| 126|  85|  44|Drought     | -          |FULL|
 16|PIDGEY       |ROCK             |  63|  79|  19|  49|  42|  51|Static      |Iron Fist   |MID |TM77 (common), Spell Tag (rare)
 17|PIDGEOTTO    |ROCK/GRASS       |  38|  34|  63|  78|  59| 100|Honey Gather| -          |BASE|Power Herb (common)
 18|PIDGEOT      |ELECTRIC/BUG     | 156|  71|  29| 133|  80|  88|Unburden    | -          |FULL|
 19|RATTATA      |FIRE/BUG         |  68|  37|  73|  58|  73|  13|Levitate    | -          |BASE|Figy Berry (common)
 20|RATICATE     |FIGHTING         |  79| 110|  30| 108|  92|  23|Shell Armor |Rock Head   |FULL|TM88 (rare)
 21|SPEAROW      |ROCK/GHOST       |  28|  56|  71|  39| 164| 137|Sand Veil   | -          |BASE|
 22|FEAROW       |ICE              |  27| 108| 116|  54|  95|  63|Steadfast   |Tinted Lens |FULL|
 23|EKANS        |POISON/FLYING    |  37| 108|  29|  50|  58|  98|Unburden    | -          |MID |TM86 (common), Chesto Berry (rare)
 24|ARBOK        |FIGHTING         |  97|  50|  66|  37| 180|  58|Rock Head   |Rough Skin  |FULL|Watmel Berry (rare)
 25|PIKACHU      |GHOST            |  40|  37|  35|  34|  37|  35|Rivalry     |Vital Spirit|BASE|Lustrous Orb (common)
 26|RAICHU       |POISON/NORMAL    | 105| 107|  99|  84| 122|  96|Soundproof  |Snow Warning|FULL|Lustrous Orb (100%)
 27|SANDSHREW    |GRASS            | 103| 111|  20|  28|  98|  10|Download    | -          |BASE|
 28|SANDSLASH    |FIRE             | 111|  85| 132| 124|  62|  29|Static      |Snow Cloak  |FULL|Occa Berry (common)
 29|NIDORAN♀     |GROUND           | 101| 120|  35|  61|  32| 132|Own Tempo   | -          |MID |
 30|NIDORINA     |FIRE/NORMAL      | 110|  24|  92|  46| 110|  59|Rock Head   |Snow Cloak  |MID |Power Anklet (rare)
 31|NIDOQUEEN    |POISON/DRAGON    | 108|  45|  57| 128| 123|  76|Bad Dreams  | -          |FULL|TM77 (common), Poké Ball (rare)
