Randomizer Version: 4.5.1-HAL
Random Seed: 85825638270474
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> HITMONCHAN     
IVYSAUR         -> YANMEGA        
CHARMANDER      -> MR. MIME       
CHARMELEON      -> LUMINEON       
SQUIRTLE        -> YANMA          
WARTORTLE       -> HARIYAMA       
CATERPIE        -> CHIKORITA      
METAPOD         -> GOLDUCK        
WEEDLE          -> TENTACRUEL     
KAKUNA          -> VENOMOTH       
PIDGEY          -> MUDKIP         
PIDGEOTTO       -> PACHIRISU      
RATTATA         -> EXPLOUD        
SPEAROW         -> UNOWN          
EKANS           -> SWELLOW        
PIKACHU         -> EXEGGUTOR      
SANDSHREW       -> CHIMECHO       
NIDORAN♀        -> MOLTRES        
NIDORINA        -> DELCATTY       
NIDORAN♂        -> MISMAGIUS      
NIDORINO        -> ARBOK          
CLEFAIRY        -> BRELOOM        
VULPIX          -> GIRAFARIG      
JIGGLYPUFF      -> BIBAREL        
ZUBAT           -> ARIADOS        
GOLBAT          -> ABOMASNOW      
ODDISH          -> CASCOON        
GLOOM           -> DONPHAN and CLAMPERL
PARAS           -> SHUCKLE        
VENONAT         -> KINGDRA        
DIGLETT         -> TORKOAL        
MEOWTH          -> OMASTAR        
PSYDUCK         -> STARAPTOR      
MANKEY          -> MANECTRIC      
GROWLITHE       -> NIDORAN♂       
POLIWAG         -> ELECTRODE      
POLIWHIRL       -> PALKIA and MAWILE
ABRA            -> LUGIA          
KADABRA         -> STARMIE        
MACHOP          -> GLISCOR        
MACHOKE         -> FLAREON        
BELLSPROUT      -> JIGGLYPUFF     
WEEPINBELL      -> PURUGLY        
TENTACOOL       -> RAICHU         
GEODUDE         -> MURKROW        
GRAVELER        -> MAGNEMITE      
PONYTA          -> GOLBAT         
SLOWPOKE        -> DITTO and SOLROCK
MAGNEMITE       -> AZUMARILL      
MAGNETON        -> CHARMANDER     
DODUO           -> WEEPINBELL     
SEEL            -> LANTURN        
GRIMER          -> BLISSEY        
SHELLDER        -> SEADRA         
GASTLY          -> BANETTE        
HAUNTER         -> HONCHKROW      
ONIX            -> MAROWAK        
DROWZEE         -> JUMPLUFF       
KRABBY          -> MUK            
VOLTORB         -> GRUMPIG        
EXEGGCUTE       -> RAIKOU         
CUBONE          -> CELEBI         
LICKITUNG       -> SMEARGLE       
KOFFING         -> CHERRIM        
RHYHORN         -> STARYU         
RHYDON          -> CACTURNE       
CHANSEY         -> TOTODILE       
TANGELA         -> LINOONE        
HORSEA          -> CASTFORM       
SEADRA          -> KRICKETUNE     
GOLDEEN         -> ELECTIVIRE     
STARYU          -> KECLEON        
SCYTHER         -> GABITE         
ELECTABUZZ      -> GRANBULL       
MAGMAR          -> RHYDON         
MAGIKARP        -> HERACROSS      
EEVEE           -> HORSEA, VULPIX, SPIRITOMB, ELECTABUZZ, REMORAID, WAILORD and ZANGOOSE
PORYGON         -> GASTLY         
OMANYTE         -> SNORLAX        
KABUTO          -> MEOWTH         
DRATINI         -> NUMEL          
DRAGONAIR       -> GYARADOS       
CHIKORITA       -> SUNFLORA       
BAYLEEF         -> DRAGONITE      
CYNDAQUIL       -> SHARPEDO       
QUILAVA         -> WHISMUR        
TOTODILE        -> POLITOED       
CROCONAW        -> INFERNAPE      
SENTRET         -> ARCANINE       
HOOTHOOT        -> ALAKAZAM       
LEDYBA          -> CRANIDOS       
SPINARAK        -> LICKITUNG      
CHINCHOU        -> FERALIGATR     
PICHU           -> KOFFING        
CLEFFA          -> HOUNDOUR       
IGGLYBUFF       -> SPOINK         
TOGEPI          -> CAMERUPT       
TOGETIC         -> ALTARIA        
NATU            -> CACNEA         
MAREEP          -> VIGOROTH       
FLAAFFY         -> LATIAS         
MARILL          -> UXIE           
HOPPIP          -> BRONZOR        
SKIPLOOM        -> METAGROSS      
AIPOM           -> SHIELDON       
SUNKERN         -> REGIGIGAS      
YANMA           -> VAPOREON       
WOOPER          -> SKUNTANK       
MURKROW         -> JOLTEON        
MISDREAVUS      -> ARCEUS         
PINECO          -> GASTRODON      
GLIGAR          -> REGIROCK       
SNUBBULL        -> MARILL         
SNEASEL         -> EMPOLEON       
TEDDIURSA       -> VICTREEBEL     
SLUGMA          -> LOTAD          
SWINUB          -> POLIWAG        
PILOSWINE       -> BAGON          
REMORAID        -> QWILFISH       
HOUNDOUR        -> GIRATINA       
PHANPY          -> MASQUERAIN     
PORYGON2        -> CLAYDOL        
TYROGUE         -> NINETALES, SPEAROW and GIBLE
SMOOCHUM        -> STEELIX        
ELEKID          -> NUZLEAF        
MAGBY           -> SLOWKING       
LARVITAR        -> PIDGEOTTO      
PUPITAR         -> SUICUNE        
TREECKO         -> MESPRIT        
GROVYLE         -> PRINPLUP       
TORCHIC         -> RATTATA        
COMBUSKEN       -> FURRET         
MUDKIP          -> LEAFEON        
MARSHTOMP       -> VOLBEAT        
POOCHYENA       -> SLOWPOKE       
ZIGZAGOON       -> WOOPER         
WURMPLE         -> SURSKIT and TOGEKISS
SILCOON         -> CRESSELIA      
CASCOON         -> PORYGON-Z      
LOTAD           -> DUSTOX         
LOMBRE          -> TYPHLOSION     
SEEDOT          -> TAUROS         
NUZLEAF         -> TORTERRA       
TAILLOW         -> VESPIQUEN      
WINGULL         -> LEDIAN         
RALTS           -> DIALGA         
KIRLIA          -> SPHEAL and CARVANHA
SURSKIT         -> TYRANITAR      
SHROOMISH       -> GARDEVOIR      
SLAKOTH         -> CROBAT         
VIGOROTH        -> UMBREON        
NINCADA         -> PIDGEOT and LUNATONE
WHISMUR         -> MACHAMP        
LOUDRED         -> CLEFAIRY       
MAKUHITA        -> BLASTOISE      
AZURILL         -> AMPHAROS       
NOSEPASS        -> CLOYSTER       
SKITTY          -> PINECO         
ARON            -> FROSLASS       
LAIRON          -> MINUN          
MEDITITE        -> BLAZIKEN       
ELECTRIKE       -> ROTOM          
ROSELIA         -> LILEEP         
GULPIN          -> KANGASKHAN     
CARVANHA        -> SANDSLASH      
WAILMER         -> GOLDEEN        
NUMEL           -> AZELF          
SPOINK          -> PELIPPER       
TRAPINCH        -> KADABRA        
VIBRAVA         -> LUDICOLO       
CACNEA          -> MILTANK        
SWABLU          -> GALLADE        
BARBOACH        -> STANTLER       
CORPHISH        -> TAILLOW        
BALTOY          -> GULPIN         
LILEEP          -> SPINDA         
ANORITH         -> CHATOT         
FEEBAS          -> POLIWHIRL      
SHUPPET         -> VIBRAVA        
DUSKULL         -> MARSHTOMP      
DUSCLOPS        -> SHEDINJA       
WYNAUT          -> DRIFLOON       
SNORUNT         -> MACHOKE and MONFERNO
SPHEAL          -> GOREBYSS       
SEALEO          -> PORYGON2       
CLAMPERL        -> RATICATE and DARKRAI
BAGON           -> ESPEON         
SHELGON         -> SLAKOTH        
