Randomizer Version: 4.5.1-HAL
Random Seed: 23962706501124
Settings String: 320WRECAgKXAJoAnQCRAAKjJGkECQEACQACCQASEgAAAAAADAiI5AHkRAAICTIGBQLKAHEAFlBva2Vtb24gU291bFNpbHZlciAoVSnkkKFMusobtQ==

--Randomized Evolutions--
BULBASAUR       -> VOLBEAT        
IVYSAUR         -> TAILLOW        
CHARMANDER      -> SENTRET        
CHARMELEON      -> SKARMORY       
SQUIRTLE        -> HIPPOPOTAS     
WARTORTLE       -> JIRACHI        
CATERPIE        -> SNORLAX        
METAPOD         -> ZUBAT          
WEEDLE          -> QUAGSIRE       
KAKUNA          -> BLISSEY        
PIDGEY          -> LUDICOLO       
PIDGEOTTO       -> MAMOSWINE      
RATTATA         -> SHELLOS        
SPEAROW         -> CACTURNE       
EKANS           -> MAGNEZONE      
PIKACHU         -> PHIONE         
SANDSHREW       -> SPINARAK       
NIDORAN♀        -> BASTIODON      
NIDORINA        -> FARFETCH’D     
NIDORAN♂        -> GULPIN         
NIDORINO        -> STARMIE        
CLEFAIRY        -> ELECTIVIRE     
VULPIX          -> GRAVELER       
JIGGLYPUFF      -> LUNATONE       
ZUBAT           -> CAMERUPT       
GOLBAT          -> SWABLU         
ODDISH          -> GLALIE         
GLOOM           -> KADABRA and CORPHISH
PARAS           -> LUMINEON       
VENONAT         -> VAPOREON       
DIGLETT         -> ABOMASNOW      
MEOWTH          -> GROWLITHE      
PSYDUCK         -> KOFFING        
MANKEY          -> MINUN          
GROWLITHE       -> NIDOQUEEN      
POLIWAG         -> WALREIN        
POLIWHIRL       -> REGISTEEL and MAGCARGO
ABRA            -> PELIPPER       
KADABRA         -> BUTTERFREE     
MACHOP          -> TOXICROAK      
MACHOKE         -> IGGLYBUFF      
BELLSPROUT      -> CELEBI         
WEEPINBELL      -> TANGROWTH      
TENTACOOL       -> MUK            
GEODUDE         -> RAPIDASH       
GRAVELER        -> SCIZOR         
PONYTA          -> SPIRITOMB      
SLOWPOKE        -> NIDORINO and CHIMCHAR
MAGNEMITE       -> EXEGGUTOR      
MAGNETON        -> KECLEON        
DODUO           -> ELECTRODE      
SEEL            -> STANTLER       
GRIMER          -> HITMONCHAN     
SHELLDER        -> CROBAT         
GASTLY          -> SHUCKLE        
HAUNTER         -> SOLROCK        
ONIX            -> MAGNEMITE      
DROWZEE         -> POLITOED       
KRABBY          -> UXIE           
VOLTORB         -> TORKOAL        
EXEGGCUTE       -> CRESSELIA      
CUBONE          -> GENGAR         
LICKITUNG       -> TREECKO        
KOFFING         -> ZANGOOSE       
RHYHORN         -> XATU           
RHYDON          -> GRANBULL       
CHANSEY         -> PIPLUP         
TANGELA         -> UMBREON        
HORSEA          -> LAPRAS         
SEADRA          -> ELECTABUZZ     
GOLDEEN         -> SWELLOW        
STARYU          -> BULBASAUR      
SCYTHER         -> GLIGAR         
ELECTABUZZ      -> MIGHTYENA      
MAGMAR          -> INFERNAPE      
MAGIKARP        -> JOLTEON        
EEVEE           -> GEODUDE, CLEFAIRY, MUNCHLAX, LOUDRED, SUICUNE, ARBOK and MACHOP
PORYGON         -> TYRANITAR      
OMANYTE         -> LOTAD          
KABUTO          -> BEAUTIFLY      
DRATINI         -> MAROWAK        
DRAGONAIR       -> SCEPTILE       
CHIKORITA       -> BLASTOISE      
BAYLEEF         -> RHYHORN        
CYNDAQUIL       -> CARVANHA       
QUILAVA         -> MANKEY         
TOTODILE        -> KAKUNA         
CROCONAW        -> HOUNDOUR       
SENTRET         -> ARTICUNO       
HOOTHOOT        -> AERODACTYL     
LEDYBA          -> LILEEP         
SPINARAK        -> WIGGLYTUFF     
CHINCHOU        -> NIDORAN♀       
PICHU           -> BARBOACH       
CLEFFA          -> EMPOLEON       
IGGLYBUFF       -> ENTEI          
TOGEPI          -> CATERPIE       
TOGETIC         -> RALTS          
NATU            -> GASTRODON      
MAREEP          -> DELCATTY       
FLAAFFY         -> TENTACOOL      
MARILL          -> WEAVILE        
HOPPIP          -> GOLEM          
SKIPLOOM        -> LATIAS         
AIPOM           -> MEW            
SUNKERN         -> DUNSPARCE      
YANMA           -> AMPHAROS       
WOOPER          -> DELIBIRD       
MURKROW         -> MISDREAVUS     
MISDREAVUS      -> DRAGONITE      
PINECO          -> OCTILLERY      
GLIGAR          -> CARNIVINE      
SNUBBULL        -> DRAPION        
SNEASEL         -> TURTWIG        
TEDDIURSA       -> SLAKING        
SLUGMA          -> DONPHAN        
SWINUB          -> SUNFLORA       
PILOSWINE       -> PARASECT       
REMORAID        -> LOPUNNY        
HOUNDOUR        -> ABSOL          
PHANPY          -> DROWZEE        
PORYGON2        -> WAILMER        
TYROGUE         -> FORRETRESS, MEWTWO and LUGIA
SMOOCHUM        -> SUDOWOODO      
ELEKID          -> MAGMORTAR      
MAGBY           -> MR. MIME       
LARVITAR        -> SHELLDER       
PUPITAR         -> DIALGA         
TREECKO         -> HOUNDOOM       
GROVYLE         -> OMASTAR        
TORCHIC         -> NIDORINA       
COMBUSKEN       -> WAILORD        
MUDKIP          -> LUXIO          
MARSHTOMP       -> WHISCASH       
POOCHYENA       -> LUCARIO        
ZIGZAGOON       -> HYPNO          
WURMPLE         -> GOLDUCK and SWINUB
SILCOON         -> BUDEW          
CASCOON         -> RATICATE       
LOTAD           -> CRAWDAUNT      
LOMBRE          -> FLOATZEL       
SEEDOT          -> GIRAFARIG      
NUZLEAF         -> DITTO          
TAILLOW         -> STEELIX        
WINGULL         -> NIDOKING       
RALTS           -> JUMPLUFF       
KIRLIA          -> BRELOOM and MOTHIM
SURSKIT         -> DODRIO         
SHROOMISH       -> BIBAREL        
SLAKOTH         -> KABUTOPS       
VIGOROTH        -> RHYPERIOR      
NINCADA         -> SMOOCHUM and SANDSLASH
WHISMUR         -> GARDEVOIR      
LOUDRED         -> QWILFISH       
MAKUHITA        -> GROUDON        
AZURILL         -> ALTARIA        
NOSEPASS        -> BELLOSSOM      
SKITTY          -> GASTLY         
ARON            -> UNOWN          
LAIRON          -> PIKACHU        
MEDITITE        -> SHROOMISH      
ELECTRIKE       -> WEEPINBELL     
ROSELIA         -> TYROGUE        
GULPIN          -> PACHIRISU      
CARVANHA        -> REGIROCK       
WAILMER         -> CRADILY        
NUMEL           -> MEGANIUM       
SPOINK          -> SWALOT         
TRAPINCH        -> METAGROSS      
VIBRAVA         -> RAICHU         
CACNEA          -> MAGBY          
SWABLU          -> TYPHLOSION     
BARBOACH        -> DUSKNOIR       
CORPHISH        -> URSARING       
BALTOY          -> SHAYMIN        
LILEEP          -> STARAPTOR      
ANORITH         -> ROSERADE       
FEEBAS          -> SWAMPERT       
SHUPPET         -> BEEDRILL       
DUSKULL         -> GIBLE          
DUSCLOPS        -> PINSIR         
WYNAUT          -> KANGASKHAN     
SNORUNT         -> FROSLASS and KRABBY
SPHEAL          -> REGIGIGAS      
SEALEO          -> AZELF          
CLAMPERL        -> MAGNETON and SNOVER
BAGON           -> SKIPLOOM       
SHELGON         -> PRIMEAPE       
BELDUM          -> ROTOM          
METANG          -> ARIADOS        
TURTWIG         -> DARKRAI        
GROTLE          -> RAIKOU         
CHIMCHAR        -> JYNX           
MONFERNO        -> NOCTOWL        
PIPLUP          -> TROPIUS        
PRINPLUP        -> WEEDLE         
STARLY          -> AZURILL        
STARAVIA        -> RAMPARDOS      
BIDOOF          -> SLAKOTH        
KRICKETOT       -> FLYGON         
SHINX           -> VENONAT        
LUXIO           -> BLAZIKEN       
BUDEW           -> SHIFTRY        
CRANIDOS        -> SMEARGLE       
SHIELDON        -> LUXRAY         
BURMY           -> TRAPINCH and LEDIAN
