Randomizer Version: 4.6.1-HAL
Random Seed: 113052562188845
Settings String: 322AAgEAQEBAAQABwAEAAEeRAABFAAAFABABAABAAAAAAAAAAAAMgQyAQAICTIGBAAyAAIAEEZpcmUgUmVkIChVKSAxLjDynVAU48M4ig==

--Randomized Evolutions--
BULBASAUR       -> IVYSAUR        
IVYSAUR         -> VENUSAUR       
CHARMANDER      -> CHARMELEON     
CHARMELEON      -> CHARIZARD      
SQUIRTLE        -> WARTORTLE      
WARTORTLE       -> BLASTOISE      
CATERPIE        -> METAPOD        
METAPOD         -> BUTTERFREE     
WEEDLE          -> KAKUNA         
KAKUNA          -> BEEDRILL       
PIDGEY          -> PIDGEOTTO      
PIDGEOTTO       -> PIDGEOT        
RATTATA         -> RATICATE       
SPEAROW         -> FEAROW         
EKANS           -> ARBOK          
PIKACHU         -> RAICHU         
SANDSHREW       -> SANDSLASH      
NIDORAN♀        -> NIDORINA       
NIDORINA        -> NIDOQUEEN      
NIDORAN♂        -> NIDORINO       
NIDORINO        -> NIDOKING       
CLEFAIRY        -> CLEFABLE       
VULPIX          -> NINETALES      
JIGGLYPUFF      -> WIGGLYTUFF     
ZUBAT           -> GOLBAT         
GOLBAT          -> CROBAT         
ODDISH          -> GLOOM          
GLOOM           -> VILEPLUME and BELLOSSOM
PARAS           -> PARASECT       
VENONAT         -> VENOMOTH       
DIGLETT         -> DUGTRIO        
MEOWTH          -> PERSIAN        
PSYDUCK         -> GOLDUCK        
MANKEY          -> PRIMEAPE       
GROWLITHE       -> ARCANINE       
POLIWAG         -> POLIWHIRL      
POLIWHIRL       -> POLIWRATH and POLITOED
ABRA            -> KADABRA        
KADABRA         -> ALAKAZAM       
MACHOP          -> MACHOKE        
MACHOKE         -> MACHAMP        
BELLSPROUT      -> WEEPINBELL     
WEEPINBELL      -> VICTREEBEL     
TENTACOOL       -> TENTACRUEL     
GEODUDE         -> GRAVELER       
GRAVELER        -> GOLEM          
PONYTA          -> RAPIDASH       
SLOWPOKE        -> SLOWBRO and SLOWKING
MAGNEMITE       -> MAGNETON       
DODUO           -> DODRIO         
SEEL            -> DEWGONG        
GRIMER          -> MUK            
SHELLDER        -> CLOYSTER       
GASTLY          -> HAUNTER        
HAUNTER         -> GENGAR         
ONIX            -> STEELIX        
DROWZEE         -> HYPNO          
KRABBY          -> KINGLER        
VOLTORB         -> ELECTRODE      
EXEGGCUTE       -> EXEGGUTOR      
CUBONE          -> MAROWAK        
KOFFING         -> WEEZING        
RHYHORN         -> RHYDON         
CHANSEY         -> BLISSEY        
HORSEA          -> SEADRA         
SEADRA          -> KINGDRA        
GOLDEEN         -> SEAKING        
STARYU          -> STARMIE        
SCYTHER         -> SCIZOR         
MAGIKARP        -> GYARADOS       
EEVEE           -> JOLTEON, VAPOREON, FLAREON, ESPEON and UMBREON
PORYGON         -> PORYGON2       
OMANYTE         -> OMASTAR        
