Randomizer Version: 4.6.1-HAL
Random Seed: 182076111057156
Settings String: 322AAgEAQGDAYYBiQEEAAEeRAABFAAAFABABAABAAAAAAAAAAAAMgQyAQAICTIGBQAyAAIAFFBva2Vtb24gUGxhdGludW0gKFUpBspbJ+PDOIo=

--Randomized Evolutions--
BULBASAUR       -> IVYSAUR        
IVYSAUR         -> VENUSAUR       
CHARMANDER      -> CHARMELEON     
CHARMELEON      -> CHARIZARD      
SQUIRTLE        -> WARTORTLE      
WARTORTLE       -> BLASTOISE      
CATERPIE        -> METAPOD        
METAPOD         -> BUTTERFREE     
WEEDLE          -> KAKUNA         
KAKUNA          -> BEEDRILL       
PIDGEY          -> PIDGEOTTO      
PIDGEOTTO       -> PIDGEOT        
RATTATA         -> RATICATE       
SPEAROW         -> FEAROW         
EKANS           -> ARBOK          
PIKACHU         -> RAICHU         
SANDSHREW       -> SANDSLASH      
NIDORAN♀        -> NIDORINA       
NIDORINA        -> NIDOQUEEN      
NIDORAN♂        -> NIDORINO       
NIDORINO        -> NIDOKING       
CLEFAIRY        -> CLEFABLE       
VULPIX          -> NINETALES      
JIGGLYPUFF      -> WIGGLYTUFF     
ZUBAT           -> GOLBAT         
GOLBAT          -> CROBAT         
ODDISH          -> GLOOM          
GLOOM           -> VILEPLUME and BELLOSSOM
PARAS           -> PARASECT       
VENONAT         -> VENOMOTH       
DIGLETT         -> DUGTRIO        
MEOWTH          -> PERSIAN        
PSYDUCK         -> GOLDUCK        
MANKEY          -> PRIMEAPE       
GROWLITHE       -> ARCANINE       
POLIWAG         -> POLIWHIRL      
POLIWHIRL       -> POLIWRATH and POLITOED
ABRA            -> KADABRA        
KADABRA         -> ALAKAZAM       
MACHOP          -> MACHOKE        
MACHOKE         -> MACHAMP        
BELLSPROUT      -> WEEPINBELL     
WEEPINBELL      -> VICTREEBEL     
TENTACOOL       -> TENTACRUEL     
GEODUDE         -> GRAVELER       
GRAVELER        -> GOLEM          
PONYTA          -> RAPIDASH       
SLOWPOKE        -> SLOWBRO and SLOWKING
MAGNEMITE       -> MAGNETON       
MAGNETON        -> MAGNEZONE      
DODUO           -> DODRIO         
SEEL            -> DEWGONG        
GRIMER          -> MUK            
SHELLDER        -> CLOYSTER       
GASTLY          -> HAUNTER        
HAUNTER         -> GENGAR         
ONIX            -> STEELIX        
DROWZEE         -> HYPNO          
KRABBY          -> KINGLER        
VOLTORB         -> ELECTRODE      
EXEGGCUTE       -> EXEGGUTOR      
CUBONE          -> MAROWAK        
LICKITUNG       -> LICKILICKY     
KOFFING         -> WEEZING        
RHYHORN         -> RHYDON         
RHYDON          -> RHYPERIOR      
CHANSEY         -> BLISSEY        
TANGELA         -> TANGROWTH      
HORSEA          -> SEADRA         
SEADRA          -> KINGDRA        
GOLDEEN         -> SEAKING        
STARYU          -> STARMIE        
SCYTHER         -> SCIZOR         
