Randomizer Version: 4.6.1-HAL
Random Seed: 153752943465073
Settings String: 322AAgEAQHSAtUC2AIEAAEeRAABFAAAFABABAABAAAAAAAAAAAAMgQyAQAICTIICAAyAAIAC1Bva2Vtb24gU3VuxHpjU+PDOIo=

--Randomized Evolutions--
Bulbasaur       -> Ivysaur        
Ivysaur         -> Venusaur       
Charmander      -> Charmeleon     
Charmeleon      -> Charizard      
Squirtle        -> Wartortle      
Wartortle       -> Blastoise      
Caterpie        -> Metapod        
Metapod         -> Butterfree     
Weedle          -> Kakuna         
Kakuna          -> Beedrill       
Pidgey          -> Pidgeotto      
Pidgeotto       -> Pidgeot        
Rattata         -> Raticate       
Spearow         -> Fearow         
Ekans           -> Arbok          
Pikachu         -> Raichu         
Sandshrew       -> Sandslash      
Nidoran♀        -> Nidorina       
Nidorina        -> Nidoqueen      
Nidoran♂        -> Nidorino       
Nidorino        -> Nidoking       
Clefairy        -> Clefable       
Vulpix          -> Ninetales      
Jigglypuff      -> Wigglytuff     
Zubat           -> Golbat         
Golbat          -> Crobat         
Oddish          -> Gloom          
Gloom           -> Vileplume and Bellossom
Paras           -> Parasect       
Venonat         -> Venomoth       
Diglett         -> Dugtrio        
Meowth          -> Persian        
Psyduck         -> Golduck        
Mankey          -> Primeape       
Growlithe       -> Arcanine       
Poliwag         -> Poliwhirl      
Poliwhirl       -> Poliwrath and Politoed
Abra            -> Kadabra        
Kadabra         -> Alakazam       
Machop          -> Machoke        
Machoke         -> Machamp        
Bellsprout      -> Weepinbell     
Weepinbell      -> Victreebel     
Tentacool       -> Tentacruel     
Geodude         -> Graveler       
Graveler        -> Golem          
Ponyta          -> Rapidash       
Slowpoke        -> Slowbro and Slowking
Magnemite       -> Magneton       
Magneton        -> Magnezone      
Doduo           -> Dodrio         
Seel            -> Dewgong        
Grimer          -> Muk            
Shellder        -> Cloyster       
Gastly          -> Haunter        
Haunter         -> Gengar         
Onix            -> Steelix        
Drowzee         -> Hypno          
Krabby          -> Kingler        
Voltorb         -> Electrode      
Exeggcute       -> Exeggutor      
Cubone          -> Marowak        
Lickitung       -> Lickilicky     
Koffing         -> Weezing        
Rhyhorn         -> Rhydon         
Rhydon          -> Rhyperior      
Chansey         -> Blissey        
Tangela         -> Tangrowth      
Horsea          -> Seadra         
Seadra          -> Kingdra        
Goldeen         -> Seaking        
Staryu          -> Starmie        
Scyther         -> Scizor         
Electabuzz      -> Electivire     
Magmar          -> Magmortar      
Magikarp        -> Gyarados       
Eevee           -> Leafeon, Glaceon, Jolteon, Vaporeon, Flareon, Sylveon, Espeon and Umbreon
Porygon         -> Porygon2       
Omanyte         -> Omastar        
Kabuto          -> Kabutops       
Dratini         -> Dragonair      
Dragonair       -> Dragonite      
Chikorita       -> Bayleef        
Bayleef         -> Meganium       
Cyndaquil       -> Quilava        
Quilava         -> Typhlosion     
Totodile        -> Croconaw       
